model,cv_scheme,label,precision,recall,f1,support
random_forest_balanced,stratified_5fold,low_pet_serviceization,0.9595347313237221,0.7588753563099249,0.8474895094776443,7718.0
random_forest_balanced,stratified_5fold,mixed_or_midlevel,0.1859122401847575,0.33611691022964507,0.23940520446096655,958.0
random_forest_balanced,stratified_5fold,retail_only_absorption,0.22366710013003901,0.38478747203579416,0.28289473684210525,447.0
random_forest_balanced,stratified_5fold,medical_only_professionalization,0.08914100486223663,0.2777777777777778,0.13496932515337423,198.0
random_forest_balanced,stratified_5fold,bundled_pet_service_maturity,0.6995661605206074,0.7837181044957473,0.7392550143266475,823.0
random_forest_balanced,spatial_block_5fold,low_pet_serviceization,0.9547270306258322,0.743197719616481,0.8357860993734518,7718.0
random_forest_balanced,spatial_block_5fold,mixed_or_midlevel,0.15971148892323545,0.3235908141962422,0.21386685063815108,958.0
random_forest_balanced,spatial_block_5fold,retail_only_absorption,0.1919060052219321,0.3288590604026846,0.24237427864798022,447.0
random_forest_balanced,spatial_block_5fold,medical_only_professionalization,0.03667481662591687,0.07575757575757576,0.04942339373970346,198.0
random_forest_balanced,spatial_block_5fold,bundled_pet_service_maturity,0.6558823529411765,0.8128797083839611,0.7259902333152469,823.0
hist_gradient_boosting,stratified_5fold,low_pet_serviceization,0.8879697471047033,0.973568281938326,0.9288009888751545,7718.0
hist_gradient_boosting,stratified_5fold,mixed_or_midlevel,0.31020408163265306,0.15866388308977036,0.20994475138121546,958.0
hist_gradient_boosting,stratified_5fold,retail_only_absorption,0.3185483870967742,0.1767337807606264,0.2273381294964029,447.0
hist_gradient_boosting,stratified_5fold,medical_only_professionalization,0.17073170731707318,0.03535353535353535,0.058577405857740586,198.0
hist_gradient_boosting,stratified_5fold,bundled_pet_service_maturity,0.7054263565891473,0.7739975698663426,0.7381228273464658,823.0
hist_gradient_boosting,spatial_block_5fold,low_pet_serviceization,0.8820324529195783,0.9648872764965016,0.9216013860528433,7718.0
hist_gradient_boosting,spatial_block_5fold,mixed_or_midlevel,0.27566539923954375,0.151356993736952,0.1954177897574124,958.0
hist_gradient_boosting,spatial_block_5fold,retail_only_absorption,0.2636363636363636,0.1297539149888143,0.17391304347826086,447.0
hist_gradient_boosting,spatial_block_5fold,medical_only_professionalization,0.1111111111111111,0.010101010101010102,0.018518518518518517,198.0
hist_gradient_boosting,spatial_block_5fold,bundled_pet_service_maturity,0.6755602988260405,0.7691373025516404,0.7193181818181819,823.0
shallow_surrogate_tree,stratified_5fold,low_pet_serviceization,0.963970870065159,0.6517232443638248,0.7776747062461348,7718.0
shallow_surrogate_tree,stratified_5fold,mixed_or_midlevel,0.16309461578672244,0.325678496868476,0.2173458725182863,958.0
shallow_surrogate_tree,stratified_5fold,retail_only_absorption,0.24660194174757283,0.2841163310961969,0.26403326403326405,447.0
shallow_surrogate_tree,stratified_5fold,medical_only_professionalization,0.044767441860465114,0.3888888888888889,0.08029197080291971,198.0
shallow_surrogate_tree,stratified_5fold,bundled_pet_service_maturity,0.7313624678663239,0.6913730255164034,0.7108057464084947,823.0
shallow_surrogate_tree,spatial_block_5fold,low_pet_serviceization,0.9679909194097617,0.5524747343871469,0.7034562402045699,7718.0
shallow_surrogate_tree,spatial_block_5fold,mixed_or_midlevel,0.12272727272727273,0.3945720250521921,0.18722139673105498,958.0
shallow_surrogate_tree,spatial_block_5fold,retail_only_absorption,0.14904330312185296,0.33109619686800895,0.20555555555555555,447.0
shallow_surrogate_tree,spatial_block_5fold,medical_only_professionalization,0.029887920298879204,0.12121212121212122,0.04795204795204795,198.0
shallow_surrogate_tree,spatial_block_5fold,bundled_pet_service_maturity,0.6987253765932793,0.732685297691373,0.7153024911032029,823.0
