Context,τ,O,E,Δ = O − E,O/E,q97.5,Margin over q97.5,Population share in high-high context
All observed grids,0.70,996,884.1,111.9,1.127,902.0,94.0,46.5%
All observed grids,0.80,823,674.3,148.7,1.220,693.0,130.0,40.4%
All observed grids,0.90,527,383.2,143.8,1.375,401.0,126.0,28.3%
Daily-life-rich non-elite,0.70,804,708.4,95.6,1.135,722.0,82.0,58.8%
Daily-life-rich non-elite,0.80,680,583.0,97.0,1.166,597.0,83.0,52.3%
Daily-life-rich non-elite,0.90,442,376.4,65.6,1.174,388.0,54.0,37.4%
Non-elite,0.70,846,739.7,106.3,1.144,757.0,89.0,42.2%
Non-elite,0.80,698,553.8,144.2,1.260,571.0,127.0,37.1%
Non-elite,0.90,446,314.5,131.5,1.418,331.0,115.0,26.4%
Population-dense,0.70,935,839.9,95.1,1.113,855.0,80.0,51.7%
Population-dense,0.80,780,677.2,102.8,1.152,693.0,87.0,45.0%
Population-dense,0.90,507,420.7,86.3,1.205,435.0,72.0,31.5%
