Context,τ,Pet excess,Pet O/E,Pet z,Margin over q97.5,Benchmark mean O/E,Benchmark max O/E,Pet rank,Pairs tested
All observed grids,0.70,111.9,1.127,5.70,94.0,1.049,1.083,1,8
All observed grids,0.80,148.7,1.220,7.92,130.0,1.061,1.120,1,8
All observed grids,0.90,143.8,1.375,8.89,126.0,1.185,1.258,1,8
Daily-life-rich non-elite,0.70,95.6,1.135,6.57,82.0,1.084,1.100,1,8
Daily-life-rich non-elite,0.80,97.0,1.166,6.96,83.0,1.086,1.101,1,8
Daily-life-rich non-elite,0.90,65.6,1.174,5.15,54.0,1.074,1.108,1,8
Non-elite,0.70,106.3,1.144,5.77,89.0,1.056,1.104,1,8
Non-elite,0.80,144.2,1.260,8.31,127.0,1.085,1.157,1,8
Non-elite,0.90,131.5,1.418,8.94,115.0,1.252,1.352,1,8
Population-dense,0.70,95.1,1.113,5.61,80.0,1.055,1.066,1,8
Population-dense,0.80,102.8,1.152,6.30,87.0,1.054,1.064,1,8
Population-dense,0.90,86.3,1.205,5.77,72.0,1.054,1.075,1,8
