metric,domain,rule_tier,confidence,rule_id,exclude_flag,count
raw_total_rows,,,,,,1151878
raw_unique_ids,,,,,,1151878
raw_duplicate_id_rows,,,,,,0
raw_missing_or_invalid_wgs84_rows,,,,,,0
candidate_domain_rows,,,,,,422462
raw_major_category,地名地址信息,,,,,245707
raw_major_category,购物服务,,,,,161320
raw_major_category,生活服务,,,,,125188
raw_major_category,餐饮服务,,,,,112150
raw_major_category,交通设施服务,,,,,96357
raw_major_category,公司企业,,,,,88503
raw_major_category,政府机构及社会团体,,,,,68888
raw_major_category,科教文化服务,,,,,41033
raw_major_category,商务住宅,,,,,32891
raw_major_category,住宿服务,,,,,32576
raw_major_category,体育休闲服务,,,,,30850
raw_major_category,医疗保健服务,,,,,28688
raw_major_category,公共设施,,,,,21391
raw_major_category,汽车服务,,,,,18703
raw_major_category,虚拟数据,,,,,13342
raw_major_category,风景名胜,,,,,12908
raw_major_category,金融保险服务,,,,,12370
raw_major_category,汽车维修,,,,,3519
raw_major_category,汽车销售,,,,,3335
raw_major_category,摩托车服务,,,,,1497
raw_major_category,道路附属设施,,,,,599
raw_major_category,事件活动,,,,,52
raw_major_category,室内设施,,,,,11
candidate_rule_count,daily_life,expanded,low,daily_name_weak,0,86279
candidate_rule_count,daily_life,expanded,low,daily_name_weak,1,27105
candidate_rule_count,daily_life,expanded,medium,daily_commercial_broad,0,150458
candidate_rule_count,daily_life,strict,high,daily_retail_structured,0,36079
candidate_rule_count,daily_life,strict,high,daily_service_structured,0,17417
candidate_rule_count,education_child,expanded,medium,education_name_child,0,706
candidate_rule_count,education_child,strict,high,education_formal_school,0,6900
candidate_rule_count,elder_care,expanded,medium,elder_name_or_care_category,0,14230
candidate_rule_count,elder_care,expanded,medium,elder_name_or_care_category,1,32
candidate_rule_count,elder_care,strict,high,elder_name_or_care_category,0,2064
candidate_rule_count,elder_care,strict,medium,elder_name_or_care_category,1,12
candidate_rule_count,health_care,expanded,medium,health_name,0,1513
candidate_rule_count,health_care,strict,high,health_structured,0,21952
candidate_rule_count,pet_care,expanded,low,pet_name_weak,0,151
candidate_rule_count,pet_care,expanded,low,pet_name_weak,1,229
candidate_rule_count,pet_care,expanded,medium,pet_name_service,0,203
candidate_rule_count,pet_care,strict,high,pet_structured_medical,0,1088
candidate_rule_count,pet_care,strict,high,pet_structured_retail,0,2496
candidate_rule_count,recreation_park_sport,expanded,medium,recreation_name,0,13175
candidate_rule_count,recreation_park_sport,strict,high,recreation_structured,0,21673
candidate_rule_count,transit,strict,high,transit_station_stop,0,18700
