contrast,feature,positive_mean,negative_mean,difference,positive_median,negative_median
bundled_vs_medical_only,elder_care_buffer_1p0km_pct,0.7788780728869584,0.22493495270568564,0.5539431201812728,0.9349902781300194,0.0
bundled_vs_medical_only,education_child_buffer_1p0km_pct,0.9208791089140133,0.5020026112848837,0.4188764976291296,0.9513061120973878,0.7027643925944713
bundled_vs_medical_only,recreation_park_sport_buffer_1p0km_pct,0.9280059807296502,0.5940588572341046,0.3339471234955457,0.9518133400963732,0.6232141347535717
bundled_vs_medical_only,service_density_pct,0.9345324581236446,0.6163167732784776,0.31821568484516705,0.9530814100938372,0.6665821286668357
bundled_vs_medical_only,health_care_buffer_1p0km_pct,0.9450791642386387,0.6405369102300372,0.30454225400860147,0.9562938540874124,0.7333671485332657
bundled_vs_medical_only,transit_buffer_1p0km_pct,0.9226302678704139,0.6569692187749504,0.2656610490954635,0.9481782061036436,0.6959168146081663
bundled_vs_medical_only,population_pct,0.9059280957879481,0.6423422831290326,0.26358581265891545,0.9396628216503992,0.6807650596470471
bundled_vs_medical_only,housing_price_pct,0.5396252940133255,0.27704987320371927,0.2625754208096062,0.5579036348267118,0.22654268808114955
bundled_vs_medical_only,daily_life_buffer_1p0km_pct,0.9415941031714897,0.6972093066944703,0.24438479647701938,0.9529968720940064,0.7240679685518641
bundled_vs_retail_only,elder_care_buffer_1p0km_pct,0.7788780728869584,0.2716259140301748,0.5072521588567837,0.9349902781300194,0.0
bundled_vs_retail_only,education_child_buffer_1p0km_pct,0.9208791089140133,0.43766859567011734,0.4832105132438959,0.9513061120973878,0.6475610787048779
bundled_vs_retail_only,housing_price_pct,0.5396252940133255,0.13947590870667792,0.40014938530664756,0.5579036348267118,0.13947590870667792
bundled_vs_retail_only,transit_buffer_1p0km_pct,0.9226302678704139,0.5769257372097849,0.345704530660629,0.9481782061036436,0.6158593287682813
bundled_vs_retail_only,service_density_pct,0.9345324581236446,0.6398356061049442,0.29469685201870044,0.9530814100938372,0.6833206526333587
bundled_vs_retail_only,health_care_buffer_1p0km_pct,0.9450791642386387,0.6713339919020873,0.2737451723365514,0.9562938540874124,0.7745371544509256
bundled_vs_retail_only,recreation_park_sport_buffer_1p0km_pct,0.9280059807296502,0.6677721635875326,0.2602338171421177,0.9518133400963732,0.6889846986220306
bundled_vs_retail_only,population_pct,0.9059280957879481,0.6580562294848009,0.24787186630314717,0.9396628216503992,0.7137927634822044
bundled_vs_retail_only,daily_life_buffer_1p0km_pct,0.9415941031714897,0.7448991958248868,0.1966949073466029,0.9529968720940064,0.7800321244399357
bundled_vs_service_rich_non_pet,elder_care_buffer_1p0km_pct,0.7788780728869584,0.43558466065276175,0.3432934122341967,0.9349902781300194,0.0
bundled_vs_service_rich_non_pet,education_child_buffer_1p0km_pct,0.9208791089140133,0.7129672713858076,0.20791183752820563,0.9513061120973878,0.8250063403499873
bundled_vs_service_rich_non_pet,recreation_park_sport_buffer_1p0km_pct,0.9280059807296502,0.7451931353417771,0.18281284538787312,0.9518133400963732,0.8060698283878603
bundled_vs_service_rich_non_pet,health_care_buffer_1p0km_pct,0.9450791642386387,0.7743913843963354,0.17068777984230332,0.9562938540874124,0.8427593203144813
bundled_vs_service_rich_non_pet,transit_buffer_1p0km_pct,0.9226302678704139,0.7699566730612354,0.15267359480917853,0.9481782061036436,0.8279651703440697
bundled_vs_service_rich_non_pet,population_pct,0.9059280957879481,0.7751447221138485,0.13078337367409953,0.9396628216503992,0.8204673173617273
bundled_vs_service_rich_non_pet,daily_life_buffer_1p0km_pct,0.9415941031714897,0.8203691586170792,0.12122494455441057,0.9529968720940064,0.8523121142953758
bundled_vs_service_rich_non_pet,housing_price_pct,0.5396252940133255,0.47449167493853106,0.06513361907479442,0.5579036348267118,0.437447168216399
bundled_vs_service_rich_non_pet,service_density_pct,0.9345324581236446,0.8774027444800381,0.05712971364360653,0.9530814100938372,0.8713331642573336
