context,strata_spec,threshold,pet_rank_by_excess_ratio,pet_excess_ratio,benchmark_max_excess_ratio,pairs_tested
all_observed,base_context_q4,0.8,1,1.2204688109835562,1.1200339498012426,6
all_observed,base_context_q4,0.9,1,1.3751754254599096,1.2581659066046327,6
all_observed,base_plus_spatial_q4,0.8,1,1.2245917178304213,1.1234471187745383,6
all_observed,base_plus_spatial_q4,0.9,1,1.3470121170789262,1.2296455574949359,6
all_observed,fine_base_context_q5,0.8,1,1.1887725371913485,1.0851611732013446,6
all_observed,fine_base_context_q5,0.9,1,1.3078052456387965,1.1689159624232026,6
all_observed,no_service_density_q4,0.8,1,1.237686432282548,1.1407377312511473,6
all_observed,no_service_density_q4,0.9,1,1.4041074888025327,1.304434182275168,6
all_observed,socio_spatial_q4,0.8,1,1.3406387672498157,1.321561788810902,6
all_observed,socio_spatial_q4,0.9,1,1.4738069666042344,1.3796744668012662,6
daily_life_top_non_elite,base_context_q4,0.8,1,1.166291120431179,1.0944797713905314,6
daily_life_top_non_elite,base_context_q4,0.9,1,1.1743026857850918,1.1078435623030822,6
daily_life_top_non_elite,base_plus_spatial_q4,0.8,3,2.126068124703074,2.5644444444444443,6
daily_life_top_non_elite,base_plus_spatial_q4,0.9,2,1.8119527899869636,2.083240596483419,6
daily_life_top_non_elite,fine_base_context_q5,0.8,1,1.277614288261937,1.259295308330936,6
daily_life_top_non_elite,fine_base_context_q5,0.9,1,1.2533333969474245,1.2012025862996862,6
daily_life_top_non_elite,no_service_density_q4,0.8,1,1.129072717266427,1.069672362791725,6
daily_life_top_non_elite,no_service_density_q4,0.9,1,1.1640093319463567,1.0874513251424696,6
daily_life_top_non_elite,socio_spatial_q4,0.8,1,1.2476019379222103,1.1448877970931775,6
daily_life_top_non_elite,socio_spatial_q4,0.9,2,1.301978583576517,1.304375649486097,6
non_elite,base_context_q4,0.8,1,1.2604921561502265,1.1572163664320412,6
non_elite,base_context_q4,0.9,1,1.4180234208292661,1.351738243096867,6
non_elite,base_plus_spatial_q4,0.8,1,1.2689671127250863,1.1611774899451819,6
non_elite,base_plus_spatial_q4,0.9,1,1.379494910689852,1.3165813756312061,6
non_elite,fine_base_context_q5,0.8,1,1.229967842236453,1.1242164961009917,6
non_elite,fine_base_context_q5,0.9,1,1.3461651527961478,1.2566140406859172,6
non_elite,no_service_density_q4,0.8,1,1.2910959448209673,1.1891076780875598,6
non_elite,no_service_density_q4,0.9,1,1.4640301470979447,1.4199504217034375,6
non_elite,socio_spatial_q4,0.8,1,1.4314102907537418,1.3901290559728527,6
non_elite,socio_spatial_q4,0.9,1,1.555579318814383,1.5409187838773362,6
population_dense,base_context_q4,0.8,1,1.1518328926550654,1.0635065405084,6
population_dense,base_context_q4,0.9,1,1.2050184820159933,1.0750718710179126,6
population_dense,base_plus_spatial_q4,0.8,3,1.6005139473709276,1.769696435271601,6
population_dense,base_plus_spatial_q4,0.9,1,1.5250155789701505,1.4984132360458475,6
population_dense,fine_base_context_q5,0.8,1,1.175443718531139,1.1294823117926527,6
population_dense,fine_base_context_q5,0.9,1,1.205973428658899,1.1037632157198076,6
population_dense,no_service_density_q4,0.8,1,1.1345062047360073,1.0463072965311808,6
population_dense,no_service_density_q4,0.9,1,1.2021388692478918,1.0628053420653143,6
population_dense,socio_spatial_q4,0.8,1,1.2550280764585053,1.229965824007989,6
population_dense,socio_spatial_q4,0.9,1,1.3206398690396892,1.2691338292490466,6
