signature_label,poi_layer,spotcheck_rows,fully_supported_rows,supported_or_partial_rows,annotator_agreement_rate,full_support_rate,support_or_partial_rate
bundled_pet_service_maturity,daily_life,3,1,3,1.0,0.3333333333333333,1.0
bundled_pet_service_maturity,education_child,3,3,3,1.0,1.0,1.0
bundled_pet_service_maturity,health_care,3,0,3,1.0,0.0,1.0
bundled_pet_service_maturity,recreation,3,1,3,1.0,0.3333333333333333,1.0
bundled_pet_service_maturity,transit,3,3,3,1.0,1.0,1.0
low_pet_serviceization,education_child,1,1,1,1.0,1.0,1.0
low_pet_serviceization,health_care,1,0,1,1.0,0.0,1.0
low_pet_serviceization,recreation,3,0,3,1.0,0.0,1.0
low_pet_serviceization,transit,3,3,3,1.0,1.0,1.0
medical_only_professionalization,daily_life,3,0,3,1.0,0.0,1.0
medical_only_professionalization,education_child,3,3,3,1.0,1.0,1.0
medical_only_professionalization,health_care,3,0,3,1.0,0.0,1.0
medical_only_professionalization,recreation,3,1,3,1.0,0.3333333333333333,1.0
medical_only_professionalization,transit,3,3,3,1.0,1.0,1.0
ordinary_service_rich_non_pet,daily_life,3,0,3,1.0,0.0,1.0
ordinary_service_rich_non_pet,education_child,3,3,3,1.0,1.0,1.0
ordinary_service_rich_non_pet,health_care,3,0,3,1.0,0.0,1.0
ordinary_service_rich_non_pet,recreation,3,0,3,1.0,0.0,1.0
ordinary_service_rich_non_pet,transit,3,3,3,1.0,1.0,1.0
retail_only_absorption,daily_life,3,0,3,1.0,0.0,1.0
retail_only_absorption,education_child,3,3,3,1.0,1.0,1.0
retail_only_absorption,health_care,3,0,3,1.0,0.0,1.0
retail_only_absorption,recreation,3,0,3,1.0,0.0,1.0
retail_only_absorption,transit,3,3,3,1.0,1.0,1.0
